name,num_stores,county,land_area,FIPS,Total.Pop,Household,Group.Quarters,Total.HU,Single.Detached,Single.Attached,Two.to.Four,Five.Plus,Mobile.Homes,Occupied,Vacancy.Rate,Persons.per.Household
Santa Barbara,2,Santa Barbara,19.47,06083,"93,511","91,884","1,627","39,145","18,127","3,503","5,732","11,393",390,"37,280",4.8%,2.46
Santa Clarita,1,Los Angeles,52.72,06037,"221,932","220,432","1,500","77,008","46,951","9,077","3,125","15,279","2,576","74,149",3.7%,2.97
Santa Cruz,1,Santa Cruz,12.74,06087,"64,424","53,299","11,125","23,954","13,238","2,616","2,621","5,130",349,"22,608",5.6%,2.36
Santa Maria,1,Santa Barbara,22.76,06083,"107,407","106,400","1,007","30,430","18,677","1,491","2,731","5,982","1,549","29,018",4.6%,3.67
Santa Monica,2,Los Angeles,8.41,06037,"92,357","90,211","2,146","52,629","9,740","1,832","5,283","35,570",204,"48,120",8.6%,1.87
Santa Rosa,2,Sonoma,41.29,06097,"173,628","170,043","3,585","69,185","39,955","6,287","6,280","13,474","3,189","66,051",4.5%,2.57
Sherman Oaks,1,Los Angeles,8.108,06073,,,,,,,,,,,,
Simi Valley,1,Ventura,41.48,06111,"125,115","124,455",660,"43,469","31,455","3,466","2,044","5,743",761,"41,920",3.6%,2.97
South San Francisco,1,San Mateo,9.14,06081,"67,879","67,300",579,"22,437","13,128","2,847","1,351","4,780",331,"21,409",4.6%,3.14
S. Pasadena,1,Los Angeles,3.417,06073,,,,,,,,,,,,
Stockton,1,San Joaquin,61.67,06077,"318,522","309,576","8,946","101,235","65,230","7,680","8,996","18,221","1,108","95,015",6.1%,3.26
Studio City,1,Los Angeles,6.31,06073,,,,,,,,,,,,
Sunnyvale,1,Santa Clara,21.99,06085,"156,503","155,654",849,"60,273","21,729","5,933","5,002","23,799","3,810","57,888",4.0%,2.69
Temecula,1,Riverside,30.15,06065,"111,970","111,841",129,"36,550","28,701","1,300",847,"5,540",162,"34,511",5.6%,3.24
Templeton,1,San Luis Obispo,7.766,06079,,,,,,,,,,,,
Thousand Oaks,2,Ventura,55.03,06111,"126,484","124,742","1,742","48,159","32,518","5,412","1,932","7,094","1,203","46,372",3.7%,2.69
Toluca Lake,1,San Luis Obispo,1.22,06079,,,,,,,,,,,,
Torrance,2,Los Angeles,20.48,06037,"145,546","144,400","1,146","58,591","30,738","3,664","3,676","19,378","1,135","55,824",4.7%,2.59
Tustin,1,Orange,11.08,06059,"80,382","79,862",520,"28,257","9,882","3,669","4,056","9,741",909,"26,863",4.9%,2.97
Ventura,2,Ventura,21.65,06111,,,,,,,,,,,,
Walnut Creek,1,Contra Costa,19.76,06013,"70,860","69,858","1,002","33,969","12,567","5,042","4,414","11,946",0,"32,363",4.7%,2.16
Westchester,1,Los Angeles,10.81,06073,,,,,,,,,,,,
West Hills,1,Los Angeles,8.53,06073,,,,,,,,,,,,
West Hollywood,2,Los Angeles,1.89,06037,"36,203","36,094",109,"25,853","2,237",704,"2,338","20,529",45,"23,604",8.7%,1.53
Westlake Village,1,Los Angeles,5.19,06037,"8,212","8,084",128,"3,371","2,372",622,113,152,112,"3,227",4.3%,2.51
Whittier,1,Los Angeles,14.65,06037,"86,801","85,166","1,635","29,721","19,370","1,259","2,325","6,574",193,"28,660",3.6%,2.97
Woodland Hills,1,Los Angeles,,06073,,,,,,,,,,,,
Yorba Linda,1,Orange,19.48,06059,"68,650","68,460",190,"23,795","18,306","2,605",868,"1,581",435,"23,094",2.9%,2.96
