name,county,land_area
Monte Sereno,Santa Clara,1.62
Montebello,Los Angeles,8.33
Monterey,Monterey,8.47
Monterey Park,Los Angeles,7.67
Moorpark,Ventura,12.58
Moraga,Contra Costa,9.43
Moreno Valley,Riverside,51.27
Morgan Hill,Santa Clara,12.88
Morro Bay,San Luis Obispo,5.3
Mount Shasta,Siskiyou,3.77
Mountain View,Santa Clara,12
Murrieta,Riverside,33.58
Napa,Napa,17.84
National City,San Diego,7.28
Needles,San Bernardino,30.81
Nevada City,Nevada,2.19
Newark,Alameda,13.87
Newman,Stanislaus,2.1
Newport Beach,Orange,23.8
Norco,Riverside,13.96
Norwalk,Los Angeles,9.71
Novato,Marin,27.44
Oakdale,Stanislaus,6.04
Oakland,Alameda,55.79
Oakley,Contra Costa,15.85
Oceanside,San Diego,41.23
Ojai,Ventura,4.39
Ontario,San Bernardino,49.94
Orange,Orange,24.8
Orange Cove,Fresno,1.91
Orinda,Contra Costa,12.68
Orland,Glenn,2.97
Oroville,Butte,12.99
Oxnard,Ventura,26.89
Pacific Grove,Monterey,2.86
Pacifica,San Mateo,12.66
Palm Desert,Riverside,26.81
Palm Springs,Riverside,94.12
Palmdale,Los Angeles,105.96
Palo Alto,Santa Clara,23.88
Palos Verdes Estates,Los Angeles,4.77
Paradise,Butte,18.31
Paramount,Los Angeles,4.73
Parlier,Fresno,2.19
Pasadena,Los Angeles,22.97
Paso Robles,San Luis Obispo,19.12
Patterson,Stanislaus,5.95
Perris,Riverside,31.39
Petaluma,Sonoma,14.38
Pico Rivera,Los Angeles,8.3
Piedmont,Alameda,1.68
Pinole,Contra Costa,5.32
Pismo Beach,San Luis Obispo,3.6
Pittsburg,Contra Costa,17.22
Placentia,Orange,6.57
Placerville,El Dorado,5.81
Pleasant Hill,Contra Costa,7.07
Pleasanton,Alameda,24.11
Plymouth,Amador,0.93
Point Arena,Mendocino,1.35
Pomona,Los Angeles,22.95
Port Hueneme,Ventura,4.45
Porterville,Tulare,17.61
Portola,Plumas,5.41
Portola Valley,San Mateo,9.09
Poway,San Diego,39.08
Rancho Cordova,Sacramento,33.51
Rancho Cucamonga,San Bernardino,39.85
Rancho Mirage,Riverside,24.45
